=== wordfreq: sample.txt ===
total words: 59
unique words: 39
  rank  word                  count
   1  the                      8
   2  of                       4
   3  hello                    3
   4  rlyeh                    3
   5  words                    3
   6  and                      2
   7  brown                    2
   8  fox                      2
   9  quick                    2
  10  a                        1
  11  all                      1
  12  by                       1
  13  combines                 1
  14  concurrency              1
  15  count                    1
  16  decade                   1
  17  dog                      1
  18  erlang                   1
  19  everyone                 1
  20  expressiveness           1
  21  for                      1
  22  frequency                1
  23  go                       1
  24  is                       1
  25  jumps                    1
  26  language                 1
  27  lazy                     1
  28  more                     1
  29  next                     1
  30  over                     1
  31  programming              1
  32  python                   1
  33  rust                     1
  34  safety                   1
  35  sorted                   1
  36  speed                    1
  37  systems                  1
  38  them                     1
  39  world                    1
